Lapis 11/ 1976,Prof. Dr. H. Meixner,Schon in der Steinzeit,Minerale sammeln,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Lapis\Lapis als pdf\Lapis 1976 11 300.pdf
Lapis 11/ 1976,Dr. H. Weniger,Alpine Klüfte Teil 1,,
Lapis 11/ 1976,Dr. W. Lieber,Peridot – Arizonas Staatsjuwel,,
Lapis 11/ 1976,Dr. K. L. Weiner,Kristallformen : das Oktaeder,,
Lapis 11/ 1976,"H. Bürger, K. Fischer",Okkulte Wissentschaft,Kunst und Praxis des Steineschleifens,
Lapis 11/ 1976,G. Gebhard,Von Abernathyit bis Zwieselit,Mineral-Systematik,
Lapis 12/ 1976,G. Feeser,Gefährlicher Bergsturz im Steinbruch Juchem,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Lapis\Lapis als pdf\Lapis 1976 12 300.pdf
Lapis 12/ 1976,V. Betz,Silber und Smalte – Bergbau in Wittichen,,
Lapis 12/ 1976,"R. V. Gaines, D. Thadeu",Panasqueira,,
Lapis 12/ 1976,Dr. K. L. Weiner,Kristallformen : das Tetraeder,,
Lapis 12/ 1976,M. Glas,Alpine Klüfte Teil 2,,
Lapis 12/ 1976,F. G. Ulses,Mit Säure und Wurzelbürste,,
Lapis 12/ 1976,"H. Bürger, K. Fischer",Hauyn,,
Lapis 1 / 1977,Prof. Dr. W. Simon,Gips und Anhydrit,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Lapis\Lapis als pdf\Lapis 1977 01 300.pdf
Lapis 1 / 1977,U. Kraeft,Die Zwillingskristalle des Gipses,,
Lapis 1 / 1977,Dr. W. Lieber,Die größte Gipswüste der Welt,"White Sands, New Mexico",
Lapis 1 / 1977,W. F. Rebeil,Wvom Demmelwald bis zur Höhle der Schwerter,,
Lapis 1 / 1977,Prof. Dr. H. Meixner,Funde aus dem Haselgebirge,,
Lapis 1 / 1977,Dr. K. L. Weiner,Kristallformen : Würfel und Rhombendodekaeder,,
Lapis 1 / 1977,Dr. H. J. Wilke,Die Rose aus dem Mist,"Sandrosen, Barytrosen",
Lapis 1 / 1977,K. Fischer,Sphen,Titanit,
Lapis 2 / 1977,U. Kraeft,Ein Produkt der Verwitterung,Türkis,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Lapis\Lapis als pdf\Lapis 1977 02 300.pdf
Lapis 2 / 1977,W. Galia,Falsche Steine mit Tusche und Zement,Türkis,
