A-Code,Name,Paragenese,Fundort,Ausbildung,Funddatum,Kaufdatum,Tauschdatum,Kauf-Tauschpreis,Wert-DM,Fotolink1,Fotolink2
AgMin-Ag-1-1-1,Silber,,"Kings Gruvan, Kongsberg, Norwegen",Fischgrätsilber,,,,,,,
AgMin-Ag-1-1-10,Silber,,"Steinbruch Glasberg, Niederbeerbach, Odenwald",,,,,,,,
AgMin-Ag-1-1-11,Silber,,"Steinbruch Glasberg, Niederbeerbach, Odenwald",,,,,,,,
AgMin-Ag-1-1-12,Silber,,"Steinbruch Glasberg, Niederbeerbach, Odenwald",,,,,,,,
AgMin-Ag-1-1-13,Silber,,"Steinbruch Glasberg, Niederbeerbach, Odenwald",,,,,,,,
AgMin-Ag-1-1-14,Silber,,"Steinbruch Glasberg, Niederbeerbach, Odenwald",,,,,,,,
AgMin-Ag-1-1-15,Silber,,"Steinbruch Glasberg, Niederbeerbach, Odenwald",,,,,,,,
AgMin-Ag-1-1-16,Silber,,"Chanarcillo, Chile",Locken,,,,,,,
AgMin-Ag-1-1-17,Silber,,Michigan,Nuggets,,,,,,,
AgMin-Ag-1-1-18,Silber,,"Reforma, Mexico",Bäumchen von Kristallen,,,,,,,
AgMin-Ag-1-1-19,Silber,,"Batopilas, Mexico",Zwillinge nach dem Spinellgesetz,,,,,,,
AgMin-Ag-1-1-2,Silber,,"Kings Gruvan, Kongsberg, Norwegen",prismatische Kristalle,,,,,,,
AgMin-Ag-1-1-20,Silber,,"Batopilas, Mexico",Fischgrätsilber,,,,,,,
AgMin-Ag-1-1-21,Silber,,"Batopilas, Mexico",Fischgrätsilber,,,,,,,
AgMin-Ag-1-1-22,Silber,"Cuprit, Akanthit",Helgoland,Imprägnation im Sandstein; Akanthit als Federchen,,,,,,,
AgMin-Ag-1-1-23,Silber,,"Eisleben, Mansfelder Rücken, Thüringen",Blech,,,,,,,
AgMin-Ag-1-1-24,Silber,,"Chanarcillo, Chile",Locken,,,,,,,
AgMin-Ag-1-1-25,Silber,Sphalerit,"San Genaro, Libertad, Peru",,,,,,,,
AgMin-Ag-1-1-26,Silber,,"Highland Bell Mine, Duncoe, Bieverdell, Ontario, Kanada",Locken,,,,,,,
AgMin-Ag-1-1-27,Silber,,"Highland Bell Mine, Duncoe, Bieverdell, Ontario, Kanada",teilweise Kristalle,,,,,,,
