Mineralienwelt 1 / 90,Gerhard Niedermayr,Mineraliensuchen in Österreich,"Fundstellentips Vorarlberg, Tirol, Salzburg, Oberösterreich, Niederösterreich, Burgenland, Steiermark, Kärnten",D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Mineralienwelt\Mineralienwelt als pdf\Mineralienwelt 1990 01 300.pdf
Mineralienwelt 1 / 90,Wolfgang Homann,Über neue Goldvorkommen im ostrheinischen Schiefergebirge,"Ederwaschgold, Korbacher Eisenberg",
Mineralienwelt 1 / 90,Fritz Hofmann,Über Fluorit - Vorkommen im Erzgebirge und Vogtland,,
Mineralienwelt 1 / 90,Gerhard Niedermayr,Mineralogische Fahrt zu den Edelsteinpegmatiten Ostnepals,,
Mineralienwelt 1 / 90,Reiner Haake,Über die Achate von St.Egidien in Sachsen,,
Mineralienwelt 1 / 90,"Wilfried Seyb, Walter Tischer",Zehn interessante Fundstellen im Sauerland,"Iserlohn, Erzgebirge II, Becke-Oese, Holzen, Hermannszeche, Plettenberg, Silbach, Remblinghausen, Kallenhardt, Herscheid",
Mineralienwelt 1 / 90,Dieter Bender,aufgelassener Steinbruch bei Nalhof im Extertal,Pyrit,
Mineralienwelt 2 / 90,Willi Bischoff,"Wheriit, Wulfenit, Zeunerit und andere Mineralien vom Steinfeld bei Braunlage, Harz",,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Mineralienwelt\Mineralienwelt als pdf\Mineralienwelt 1990 02 300.pdf
Mineralienwelt 2 / 90,Hasso Lutz Gehrmann,Kluftsuche und Mineralbergung aus Klüften,,
Mineralienwelt 2 / 90,"Fritz Hofmann, Rainer Haake","Über die Mineralien der ""Gelbe Birke Fundgrube"" bei Schwarzenberg im Erzgebirge",,
Mineralienwelt 2 / 90,Artur Wittern,Zehn interessante Fundstellen im Schwarzwald,"Grube Dorothea, Schmiedestollen, Clara, Grube Ludwig, Steinbruch Artenberg, Silberbrünnle, Grube Michael (1), Schauinsland, Grube Haus Baden, Menzenschwand",
Mineralienwelt 2 / 90,Gerhard Niedermayr,Eine bemerkenswerte Zeolith-Paragenese aus einem Serpentinit-Steinbruch bei Pingendorf in Niederösterreich,,
Mineralienwelt 2 / 90,"Manfred Hamann, Stefan Hamann",Der Uranerzbergbau der SDAG-Wismut im Raum Schneeberg- Aue- Schlema und seine Mineralien Teil 1, !,
Mineralienwelt 3 / 90,Thomas Witzke,"Nachtrag zu den Mineralien der ""Gelbe Birke Fundgrube"" bei Schwarzenberg im Erzgebirge",,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Mineralienwelt\Mineralienwelt als pdf\Mineralienwelt 1990 03 300.pdf
Mineralienwelt 3 / 90,"Rolf Hehren, Ralph Vetter","Der Ehlit, Geschichte einer Verwechselung","Grube Virneberg bei Rheinbreitbach, Grube Venus bei Ehl",
Mineralienwelt 3 / 90,Peter Amacher,Ein Strahlertag in senkrechter Wand,Erlebnisbericht Val Bedretto,
Mineralienwelt 3 / 90,"Boris Schröder, Ulrich Lipp",Der Uranerzbergbau der SDAG-Wismut im Raum Schneeberg- Aue- Schlema und seine Mineralien Teil 2,,
Mineralienwelt 3 / 90,Andreas Habel,Mineralienexkursion im unteren Bayerischen Wald,"Steinbruch Lindberg bei Waldkirchen, Steinbruch am Eitzing bei Oberfrauenwald",
Mineralienwelt 3 / 90,Fritz Pfaffl,"Die Mineralien der Sulfiderzlagerstäte Silberberg bei Bodenmais, Bayerischer Wald","Kreittonit, Cordierit",
Mineralienwelt 3 / 90,Matthias Sehrig,Johannit von der Uranlagerstätte Ronneburg,,
Mineralienwelt 3 / 90,Dietmar Leonhard,Parasymplesit von Ehrenfriedersdorf,,
Mineralienwelt 3 / 90,Gerhard Niedermayr,Die Mineralien der Kor- und Saualpe,"Holmquistit, Roscherit, Uralolith, Weinebenit",
Mineralienwelt 3 / 90,Dr. H. J. Wilke,Bobierrit von Kovdor,,
Mineralienwelt 1 / 91,Werner Lieber,Kalksteintürme in Süd-China,,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Mineralienwelt\Mineralienwelt als pdf\Mineralienwelt 1991 01 300.pdf
Mineralienwelt 1 / 91,Dieter Bender,"Die Halde der ehemaligen Strontianitgrube ""Mathilde"" bei Ascheberg, Münsterland",,
Mineralienwelt 1 / 91,"Reiner Haake, Jürgen Fischer, Rheinhard Reiszmann",Über das Achat- Amethystvorkommen von Schlottwitz im Osterzgebirge,,
Mineralienwelt 1 / 91,Torgeir T. Garmo,Schmucksteine und ihr Vorkommen in Norwegen,,
Mineralienwelt 1 / 91,"Andreas Habel, Martin Habel",Zehn interessante Fundstellen in Ostbayern,"Quarzbruch am Pfahl, Hirschengrube am Schwarzeck, Silberberg bei Bodenmais, Blötz bei Bodenmais, Steinbruch Koxberg bei Saunstein, Krennbruch in Matzersdorf, Kerberbruch in Stützersdorf, Kusserbruch in Stützersdorf, Granitdioritwerk Steinerleinbach bei Röhrnbach, Steinbruch am Lindberg bei Waldkirchen, Steinbruch am Eitzing bei Oberfrauenwald, Graphitbergbau Kropfmühl",
Mineralienwelt 1 / 91,Theodor F. Müther,"Tunesien, Urlaub und Mineraliensammeln",,
Mineralienwelt 1 / 91,Erwin Burgsteiener,Neufunde aus dem Pinzgau ,,
Mineralienwelt 1 / 91,Gerhard Niedermayr,Die Situation der Geowissenschaften in unserer heutigen Gesellschaft,,
Mineralienwelt 1 / 91,Michael Fettel,Clausthalit - erster Nachweis des Pb-Selenides im Odenwald,Niederramstadt,
Mineralienwelt 1 / 91,Bernd Habel,Über einige interessante Fundstellen im Rhein- Sieg- Kreis Teil 1,"Altglück- Neuglück, Himberg, Merten an der Sieg, Grube Silistra",
Mineralienwelt 2 / 91,Dieter Bender,"Grube Victoria, Grube Merkur", ,D:\Klaus\+Mineral\Datenbank 03\Literaturdatenbank\Mineralienwelt\Mineralienwelt als pdf\Mineralienwelt 1991 02 300.pdf
Mineralienwelt 2 / 91,Bernd Habel,Über einige interessante Fundstellen im Rhein- Sieg- Kreis Teil 2,"Soller bei Humerzheim, Steinerberg / Ahr, Grube Ziethen, ",
Mineralienwelt 2 / 91,Gerhard Niedermayr,"Die Mineralien im Nationalpark Hohe Tauern, Österreich","Untersulzbachtal, Knappenwand, Habachtal etc.",
